"id","text","date","truthRating","ratingName","author","headline","named_entities_claim","named_entities_article","keywords","source","sourceURL","link","language"
"http://data.gesis.org/claimskg/claim_review/091528ac-874f-5959-9c3b-3882dd674b60","NASA admitted that climate change occurs naturally as a result of changes in Earth's solar orbit and not anthropogenic factors.","Unknown",1,"FALSE","Unknown","Did NASA 'Admit' Climate Change Is Caused by Changes in Earth’s Orbit, Not Humans?","CO2,Earth,Earth Observatory,Earth rotates,Hal Turner,Milankovich,Milankovitch cycle,Milankovitch cycles,NASA,Natural News,North Pole,North Star,anthropogenic climate change,anthropogenic global warming,axial tilt,axis is tilted,climate change,climate science,climate scientists,climate variability,climate-change denial,core sample,eccentricity,global temperatures,human input,ice age,interglacial period,obliquity,online magazine,precession,scientific observation,solar energy,straw-man argument,whistleblower","Earth's,NASA,climate change,solar orbit","http://data.gesis.org/claimskg/keyword/2d6fbbd1-47a2-5d71-8e3c-1a383242729c","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/nasa-climate-change-admission/","English"
"http://data.gesis.org/claimskg/claim_review/dd650ba6-f774-5d2a-b6fd-915206381a94","A photo shared on Instagram purports animal agriculture is the greatest contributor to climate change, exceeding output from fossil fuels and other producers.","Unknown",1,"FALSE","Unknown","Is Animal Agriculture The Biggest Contributor To Climate Change?","ABC News,CNN,California,Climate Central,Climate Change,Fact Check,Fossil fuels,IPCC,Instagram,Intergovernmental Panel on Climate Change,Mitigation of Climate Change,N 2,U.S. Environmental Protection Agency,USA Today,United Nations,agriculture and forestry,animal agriculture,carbon dioxide,climate change,contributor to climate change,cull,farm equipment,food production,fossil fuels,gas emissions,greenhouse gases,greenhouse gasses,lack of water,livestock,manure,misinformation,oil and gas,pie chart,scientific consensus,social media","Instagram,animal agriculture,climate change","http://data.gesis.org/claimskg/keyword/cc400689-f14d-54fe-a9da-fff334ca68ff","checkyourfact","http://checkyourfact.com","https://checkyourfact.com/2022/12/08/fact-check-animal-agriculture-biggest-contributor-climate-change/","English"
"http://data.gesis.org/claimskg/claim_review/5e65f826-3fbb-5956-8f97-bacc933f5391","Swedish scientist Magnus Söderlund suggested cannibalism could fight climate change.","Unknown",1,"FALSE","Unknown","Did a Swedish Scientist Propose Cannibalism to Fight Climate...","Antti Heikkilä,Breitbart News,Breitbart.com,Cannibalism,Climate Change,Climate change,Consumer Marketing,Disinformation,Donald Trump,Earth,Epoch Times,Evening Standard,Fact Checks,Fight Climate Change,Florida,Fox News,JavaScript,NASA,PhD,Stockholm,Stockholm School of Economics,Sweden,Swedish,TV4,U.S. President Donald Trump,United States President,anthropogenic climate change,associate professor,behavioral scientist,behavioural scientist,breitbart,burning of fossil fuels,cannibalism,cannibalistic,carbon emissions,climate change,climate change prevention,climate science,combat climate change,combatting climate change,consumer behavior,customer satisfaction,disinformation,donald trump,effects of climate change,epoch times,fact check,famine,fight climate change,food shortages,food sources,fossil fuels,greenhouse emissions,greenhouse gases,issue of climate change,mass transportation,misinformation,mitigate the effects,mitigating climate change,natural gas,news media,renewable energy,sensationalism,t.co,trump administration","Swedish,cannibalism,fight climate change","http://data.gesis.org/claimskg/keyword/21901cac-4236-5cfd-abf6-617c469bc0db","truthorfiction","https://www.truthorfiction.com","https://www.truthorfiction.com/did-a-swedish-scientist-propose-cannibalism-to-fight-climate-change/","English"
"http://data.gesis.org/claimskg/claim_review/d59f39c0-4da4-5d31-a917-ba75570bb67f","Image shows cow fart bags advocated by fringe leftists as a measure to battle climate change by hampering bovine methane emissions.","Unknown",1,"FALSE","Unknown","Are ‘Cow Fart Bags’ Being Used to Fight Climate Change? – Truth or...","30%,Argentina,Facebook,Fart,Fight Climate Change,Florida,Inhabitat,JavaScript,July 2008,burp,cattle ranchers,climate change,cow flatulence,eco-friendly,fact check,fart,global warming,greenhouse gases,head of cattle,hook, line, and sinker,methane,methane emissions,methane gas,outer space,reappropriate","bovine,climate change,fart,methane emissions","http://data.gesis.org/claimskg/keyword/7a72b7c3-0584-53b2-add5-e27f251ec57d","truthorfiction","https://www.truthorfiction.com","https://www.truthorfiction.com/are-cow-fart-bags-being-used-to-fight-climate-change/","English"
"http://data.gesis.org/claimskg/claim_review/98c3316a-9894-589a-90c9-4b85ca4fb73d","If President Obama signs the Copenhagen climate change treaty, he will sign your freedom, your democracy, and your prosperity away forever — and neither you nor any subsequent government you may elect would have any power whatsoever to take it back again.",2009-10-14,1,"FALSE","Christopher Monckton","British climate-change skeptic says Copenhagen treaty threatens democracy, freedom","Bangkok,Bill Clinton,Christopher Monckton,Copenhagen,Copenhagen conference,Copenhagen negotiations,Denmark,George W. Bush,John H. Knox,Kyoto Protocol,Lord Monckton,Natural Resources Defense Council,Obama,Obama administration,President Barack Obama,Presidents,St. Paul,State Department,Todd Stern,U.S.,U.S. Constitution,United Nations,United States,Wake Forest University,Yvo De Boer,advice and consent,broad support,carbon emissions,climate change,climate change agreement,democratic system of government,diplo,economic growth,emission of gases,environmental group,global warming,hereditary peer,international agreement,international climate policy,international community,international law,legitimate sovereignty,national sovereignty,override,oversight regime,principles of freedom,sovereignty,stream-of-consciousness,supermajority,trade embargo,world government","Copenhagen,President Obama,climate change","http://data.gesis.org/claimskg/keyword/74e6b361-e21d-5aa4-a171-b34098e9294e","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2009/oct/20/christopher-monckton/british-climate-skeptic-says-copenhagen-treaty-thr/","English"
"http://data.gesis.org/claimskg/claim_review/f0605e36-f1a0-5cee-b7ba-4b8801e07134","A post shared on Facebook purports the World Economic Forum (WEF) has allegedly urged the public to bathe once a week or less to save the planet.","Unknown",1,"FALSE","Unknown","Did The World Economic Forum Issue An Order About Bathing In Response To Climate Change?","Asia,BusinessWire,China,Facebook,Fact Check,Fox News,Great Reset,Klaus Schwab,Mashable,NewsPunch,U.S. Special Forces,WDR,WEF,World Economic Forum,broadcast company,fake news,genocide,news reports,public service announcement,social media,social media accounts","Facebook,WEF","http://data.gesis.org/claimskg/keyword/66bffe43-3761-5668-996a-c6db46051033","checkyourfact","http://checkyourfact.com","https://checkyourfact.com/2023/01/06/fact-check-world-economic-forum-bathing/","English"
"http://data.gesis.org/claimskg/claim_review/f8a6a618-b8bd-55d5-9beb-b8c3ece20626","Climate change is a naturally occurring phenomenon that can be tracked throughout prehistoric eras.",2023-01-17,1,"FALSE","Unknown","Climate change is not a naturally occurring phenomenon. Humanity is the driving force","Climate change,Davos,Earth,Earth's orbit,Earth’s atmosphere,Environmental Protection Agency,Facebook and Instagram,Industrial Revolution,Instagram,Meta,NASA,National Oceanic and Atmospheric Administration,News Feed,PolitiFact,Switzerland,UC Berkeley,University of California, Berkeley,Whendee Silver,World Economic Forum,average temperature,burning of fossil fuels,carbon dioxide,climate change,false news,fossil fuel,global temperature,global temperatures,greenhouse gas emissions,greenhouse gases,ice ages,late Triassic,methane,misinformation,nitrous oxide,scientific consensus,social media,solar energy,solar radiation","Climate change","http://data.gesis.org/claimskg/keyword/2d6fbbd1-47a2-5d71-8e3c-1a383242729c","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2023/jan/23/instagram-posts/climate-change-is-not-a-naturally-occurring-phenom/","English"
"http://data.gesis.org/claimskg/claim_review/34867b12-14f7-5b5d-a92b-0955d8c1456a","Earth has not warmed for the last 17 years.",2014-03-11,2,"MIXTURE","Unknown","Climate change skeptic Patrick Moore says Earth has 'not warmed for the last 17 years'","2013 State of the Union,Aleutians,Amchitka Island,American nuclear weapons,Bob Beckel,Boulder,Climate Change,El Niño,Fox News,Global surface temperatures,Goddard Institute,Goddard Institute for Space Studies,Greenpeace,Greenpeace Canada,Hannity,Intergovernmental Panel on Climate Change,Kevin Trenberth,March 11,NASA,NOAA,National Center for Atmospheric Research,Patrick Moore,Phyllis Cormack,PolitiFact,President Barack Obama,PunditFact,Sean Hannity,United Nations,University of Maine,carbon emissions,cherry-picked,cherry-picking,climate change,climate change research,cold weather,combat climate change,degrees Celsius,global surface temperatures,greenhouse gas emissions,ice core,nuclear energy industry,nuclear industry,nuclear test,pundit,rising sea levels,sea ice,statistically significant,theory of climate change,tree rings","Earth","http://data.gesis.org/claimskg/keyword/01b97136-3a92-50bf-9aac-ab9eab792743","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2014/mar/17/patrick-moore/climate-change-skeptic-patrick-moore-says-earth-ha/","English"
"http://data.gesis.org/claimskg/claim_review/c7e20c92-a7e4-5b86-9c18-835e7f00ee09","Says President Barack Obama’s homeland security budget had $16 million to fight climate change but didn't have a line item to fight violent extremism.",2015-12-09,2,"MIXTURE","Unknown","Barack Obama gives Homeland Security millions for climate change, no 'line item' to fight extremism?","Climate change,Countering Violent Extremism,DHS,Department of Homeland Security,FEMA,Federal Emergency Management Agency,Fox Business Network,Homeland Security,House Homeland Security Committee,Internet,Internet in the United States,Islamist terrorists,Justice Department,McCaul,Michael McCaul,Obama,PolitiFact,President Barack Obama,San Bernardino,Sean Duffy,Stuart Varney,Texas Republican,U.S.,U.S. Rep.,Varney & Co.,Wisconsin Republican,climate change,climate change impacts,countering violent extremism,fact check,fight climate change,fiscal 2016,homeland security,local agencies,public health,radicalization,state and local,violent extremism,violent extremist,violent extremists","President Barack Obama,fight climate change,line item,violent extremism","http://data.gesis.org/claimskg/keyword/4edc7afa-b18c-5adf-b7f5-4345171ee579","politifact","http://www.politifact.com","https://www.politifact.com/factchecks/2015/dec/18/sean-duffy/barack-obama-gives-homeland-security-millions-clim/","English"
"http://data.gesis.org/claimskg/claim_review/0b9a7b5e-323f-5e74-8599-b6ca6df36b69","President Donald Trump, in applying for permission to build a wall at his golf course in Ireland, warned against the threat of coastal erosion caused by global warming.","Unknown",2,"MIXTURE","Unknown","Did Donald Trump Acknowledge the Threat of Climate Change to His Irish Golf Course?","2012,2016,23 May,An Bord Pleanála,Bord Pleanála,CBS News,Carrowmore,Clare County Council,Co. Clare,Daily Telegraph,Donald Jr.,Donald Trump,Doonbeg,EIS,England,Environmental Impact Statement,Eric,European Union law,Facebook,Golf Resort,HR Wallingford,Hugh Hewitt,Ireland,Irish government,Ivanka,Occupy Democrats,Office of Public Works,Politico,President Donald Trump,President Trump,Republican,Trump,Trump Organization,Twitter,U.S. presidential candidate,United States,Washington Post,berm,civil engineering,climate change,coastal erosion,conservative talk radio,effects of climate change,extreme weather,final Environmental Impact Statement,front-runner,global warming,golf resort,left-wing,limestone,local authorities in Ireland,man-made global warming,news outlets,planning permission,presidential campaign,presidential election,presumptive Republican nominee,rising sea levels,sand dunes","Ireland,President Donald Trump,coastal erosion,global warming","http://data.gesis.org/claimskg/keyword/637ea994-8787-5d38-9793-b759691a68c9","snopes","http://www.snopes.com","https://www.snopes.com/fact-check/trump-climate-change-golf-course/","English"
